8427|||Agrarhof Gospersgrün e.G.|Fraureuth|765665|2552|037600 9236||Schulstraße 1|||Metzgerei|Agrarhof Gospersgrün|http://www.agrarhof.de/
18574|||Agrargesellschaft Gustow mbH|Gustow|752755|2509|038307 828||Alte Bäderstr. 1|||Landesprodukte Großhandel|Agrargesellschaft Gustow mbH|None
2625|||Agrargenossenschaft Agrofarm Göda e. G.|Bautzen Stadt|751089|2504|03591 617760||Salzenforster Str. 163|||Landwirtschaftsbetrieb|Agrargenossenschaft Agrofarm Göda eG|http://www.agrofarm-goeda.de/
99326|||Agrargesellschaft  Griesheim mbH|Ilmtal|747934|2493|03629 802245||Kleppergasse 1|||Grosshändler|Agrargesellschaft Griesheim mbH|http://www.agrar-griesheim.de/startseite.html
4571|||Agrargenossenschaft Pötzschau e.G.|Rötha Stadt|747255|2491|034347 50272||Kleinpötzschau 19|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft Pötzschau eG|None
18276|||Agrofarm eG Lüssow|Lüssow|745740|2486|03843 218657||Schwiesower Str. 22|||Versicherungsagenturen und -Vermittler (zertifiziert)|Agrofarm eG|None
6888|||AG Elbniederung Eutzsch e. G.|Wittenberg Lutherstadt|745046|2483|034928 20571||Wittenberger Str. 105|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft Elbniederung Eutzsch e.G.|None
99869|||Agrargenossenschaft Drei Gleichen Mühlberg e.G.|Drei Gleichen|739430|2465|036256 20248||Gothaer Str. 37|||Golfclub|Agrargenossenschaft Drei Gleichen Mühlberg e. G.|http://www.drei-gleichen.de/index.php?id=171
99444|||Agrargenossenschaft Niedersynderstedt e.G.|Blankenhain Stadt|735920|2453|036454 5560||Kastanienallee 7|||Landwirtschaftsbetrieb|Agrargenossenschaft Niedersynderstedt e G|http://www.ag-niedersynderstedt.de/
4886|||Agrargenossenschaft Arzberg e.G.|Arzberg|728388|2428|034222 4410||Mühlenviertel 4|||Landschaftsgärtner|Agrargenossenschaft Arzberg e.G.|None
99947|||Agrargenossenschaft Mülverstedt e.G.|Schönstedt|721696|2406|036022 9550||Waldstedter Str. 21|||Grosshändler|Agrargenossenschaft Mülverstedt e.G.|http://www.wildland-schoenstedt.com/
17194|||Agrarges. Hohen Wangelin mbH & CO. KG|Klocksin|719648|2399|039933 7600||Malchower Chaussee 1|||Landwirtschaftliche Produkte Einzelhandel|Agrargesellschaft Hohen Wangelin mbH & Co. KG|None
4519|||Agrar & Umwelt AG Loberaue|Rackwitz|719081|2397|034202 3744100||Eilenburger Str. 14|||Grosshändler|Agrar und Umwelt AG Loberaue|None
98646|||Agrar-GmbH Am Straufhain Streufdorf|Straufhain|718291|2394|036875 69274||Steinfelder Str. 2|||Metzgerei|Agrar-GmbH Am Straufhain|None
1471|||Agrargenossenschaft Radeburg eG|Radeburg Stadt|712795|2376|035208 81000||Hauptstraße 28b|||Landwirtschaftsbetrieb|Agrargenossenschaft Radeburg e.G.|http://www.agrargenossenschaft-radeburg.de/
99869|||Agrarprodukte Schwabhausen e.G.|Schwabhausen|711953|2373|036256 2320||Wechmarer Str. 57|||Landwirtschaftsbetrieb|Agrarproduktion Schwabhausen e.G.|http://www.agrarprodukte-schwabhausen.de/
6895|||Agrofarm Flämingrand GmbH|Zahna-Elster Stadt|710912|2370|034924 20381||Ottmannsdorfer Str. 2|||Landwirtschaftliche Produkte Einzelhandel|Agrofarm Flämingrand GmbH|None
37308|||Agrar-Gesellschaft mbH Kalteneber|Heilbad Heiligenstadt Stadt|710473|2368|036083 42301||Mittelstraße 12|||Landwirtschaftliche Produkte Einzelhandel|Agrar-gesellschaft mbH|None
6526|||AgrarGen.Gonna-/Leinetal eG.|Sangerhausen Stadt|706466|2355|03464 58120||Linke G. 1|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft Gonnatal-Leinetal eG|http://www.mansfeldsuedharz.de/de/firmenverzeichnis/formulartool.104000000001.119001000021.html
4838|||Agrargenossenschaft eG Hohenprießnitz|Zschepplin|702634|2342|034242 5021750218||Dorfpl. 5|||Landwirtschaftsbetrieb|Agrargenossenschaft eG Hohenprießnitz|None
96528|||Agrar-Genossenschaft Schalkau e.G.|Schalkau Stadt|697871|2326|036766 849390||Ehneser Str. 31|||Landwirtschaftliche Produkte Einzelhandel|Agrar-Genossenschaft Schalkau e.G.|None
2943|||Agrargenossenschaft Klitten e.G.|Boxberg/O.L.|697803|2326|035895 50229||Halbendorfer Str. 213|||Landwirtschaftsbetrieb|Agrargenossenschaft Klitten eG|http://www.agrargenossenschaft-klitten.de/
